,Title,URL,Description,Salary,Location,Degree Required,Hiring Multiple Candidates,Duration,Starting,Deadline
38,Analyst Programme - Technology - Analytics & Modeling - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62029/analyst-programme-technology-analytics-and-modeling-2025,"Analytics, FinTech, Economics, Maths, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
39,Analyst Programme - Operations - Technology Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62028/analyst-programme-operations-technology-operations-2025,"Analytics, FinTech, IT, Data, Software, Cyber.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
40,Analyst Programme - Technology - Artificial Intelligence - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62031/analyst-programme-technology-artificial-intelligence-2025,"Analytics, FinTech, Software, IT, Data, AI.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
41,Graduate Developer,https://www.gradcracker.com/hub/1213/alscient/graduate-job/53418/graduate-developer,"Software, Computer Science, IT, Systems.","£38,000",Leeds,All grades,Ongoing,N/A,N/A,N/A
42,Artificial Intelligence Engineer in DAQ systems,https://www.gradcracker.com/hub/759/cern/graduate-job/62237/artificial-intelligence-engineer-in-daq-systems,"Software, Systems, Computer Science, AI.","5,134 - 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),All grades,October 2024,"August 19th, 2024",N/A,N/A
43,Junior IT Application Specialist,https://www.gradcracker.com/hub/759/cern/graduate-job/62171/junior-it-application-specialist,"IT, Software, Systems, Computer Science.","5,134 - 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),All grades,October 2024,"August 18th, 2024",N/A,N/A
44,IT Manager/IT Technician,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/60583/it-manager-it-technician,"IT, Software, Systems, Computer Science.","£35,000 - £45,000",Stafford (West Midlands) (Hybrid),All grades,Immediate Start,Ongoing,N/A,N/A
45,Graduate DevOps Engineer (Security Clearance required),https://www.gradcracker.com/hub/1212/smartdcs-it/graduate-job/60138/graduate-devops-engineer-security-clearance-required,"Software, IT, Computer Science, Systems.",Competitive,Cheltenham (Gloucestershire) (Hybrid),All grades,Ongoing,N/A,N/A,N/A
46,Full Stack Developers,https://www.gradcracker.com/hub/578/tpp/graduate-job/32515/full-stack-developers,"Software, Systems, Computer Science, AI.","Minimum £60,000 (depending on experience)",Leeds,1 and above,Yes,Ongoing,N/A,N/A
47,Technical Systems Administrator,https://www.gradcracker.com/hub/578/tpp/graduate-job/33570/technical-systems-administrator,"Computer Science, IT, Software, Hardware.","£45,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
48,Semiconductor Technology Analyst,https://www.gradcracker.com/hub/1227/idtechex/graduate-job/53973/semiconductor-technology-analyst,"Physics, Chemistry, Material Science.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
49,Systems Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/61273/systems-engineer,"Systems, Software, Computing.",Competitive,Malvern Hills (Worcestershire),All grades,Yes,Ongoing,N/A,N/A
50,Graduate Analysts (Mandarin Speakers),https://www.gradcracker.com/hub/578/tpp/graduate-job/18467/graduate-analysts-mandarin-speakers,"Computing, Software, Analytics.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
51,Trainee Patent Attorney – Engineering & Tech (2025 start date),https://www.gradcracker.com/hub/802/carpmaels-and-ransford/graduate-job/62146/trainee-patent-attorney-engineering-and-tech-2025-start-date,"Electrical, Electronic, Software, Computer Science, Physics.","Base salary of approximately £50,000",London (Hybrid),1 and above,Yes,September 2025,"November 8th, 2024",N/A
52,Graduate Power Platform Developer,https://www.gradcracker.com/hub/691/reply/graduate-job/62456/graduate-power-platform-developer,"Computer Science, Software, IT, Web Development.",Competitive,Manchester (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
